u164,i58,c9,pv,1511827589
u63,i115,c16,pv,1511646673
u174,i280,c31,pv,1511981617
u9,i16,c17,pv,1511783162
u130,i14,c15,click,1512290000
u167,i280,c31,click,1512010229
u151,i143,c44,fav,1511546014
u195,i82,c33,cart,1511895978
u72,i80,c31,pv,1511892144
u27,i48,c49,click,1511915617
u89,i136,c37,fav,1512304379
u118,i275,c26,pv,1511936122
u21,i283,c34,click,1512198376
u159,i186,c37,click,1512277997
u18,i24,c25,cart,1511842645
u21,i120,c21,fav,1511937791
u72,i233,c34,click,1511921754
u42,i190,c41,click,1512241929
u69,i37,c38,click,1511718651
u137,i126,c27,pv,1511937087
u70,i286,c37,pv,1511879235
u197,i29,c30,pv,1511572859
u81,i206,c7,pv,1511760431
u146,i162,c13,pv,1512062681
u102,i235,c36,pv,1511685613
u64,i288,c39,click,1512152182
u110,i299,c50,click,1511769174
u36,i261,c12,click,1511588605
u29,i79,c30,click,1512252736
u109,i33,c34,click,1512164034
u120,i271,c22,pv,1512119299
u3,i59,c10,cart,1512102254
u193,i137,c38,cart,1511895899
u29,i151,c2,click,1512014963
u1,i135,c36,buy,1511726530
u130,i55,c6,fav,1511852142
u164,i260,c11,click,1511699463
u96,i83,c34,click,1512095316
u1,i166,c17,click,1511656501
u93,i158,c9,pv,1511791772
u146,i41,c42,pv,1512048797
u18,i273,c24,cart,1511673828
u169,i244,c45,buy,1511712348
u68,i271,c22,fav,1511982892
u55,i277,c28,cart,1512262578
u52,i160,c11,click,1512243514
u167,i192,c43,click,1512081917
u116,i62,c13,pv,1511606336
u87,i11,c12,click,1511780492
u151,i113,c14,pv,1512281425
u162,i31,c32,pv,1511572138
u85,i37,c38,click,1511831204
u172,i249,c50,pv,1511677939
u186,i293,c44,click,1511794001
u122,i209,c10,pv,1511640839
u169,i221,c22,click,1511970271
u120,i28,c29,cart,1512216768
u26,i32,c33,click,1511894984
u28,i128,c29,pv,1512101536
u115,i72,c23,click,1511831275
u119,i128,c29,fav,1511618246
u114,i282,c33,pv,1512223023
u139,i8,c9,buy,1511787061
u43,i209,c10,click,1511763330
u103,i31,c32,pv,1511541460
u100,i136,c37,fav,1512016310
u74,i217,c18,cart,1512305190
u143,i250,c1,pv,1511850320
u56,i30,c31,click,1512107732
u16,i161,c12,pv,1512151754
u123,i258,c9,fav,1512096126
u41,i30,c31,buy,1511623202
u48,i36,c37,click,1512247211
u61,i207,c8,pv,1512136547
u64,i297,c48,click,1512188668
u21,i215,c16,cart,1512131883
u134,i162,c13,buy,1511753381
u172,i161,c12,pv,1511954211
u34,i154,c5,click,1511615266
u3,i235,c36,click,1512129541
u26,i38,c39,click,1512069658
u68,i68,c19,buy,1511611332
u63,i190,c41,pv,1511998669
u140,i155,c6,click,1512224943
u136,i5,c6,cart,1512120742
u77,i54,c5,buy,1511680014
u68,i60,c11,fav,1512119297
u40,i140,c41,pv,1511760061
u184,i176,c27,pv,1512204246
u68,i259,c10,click,1511592466
u24,i217,c18,fav,1511585428
u1,i171,c22,cart,1512207261
u68,i83,c34,cart,1512117678
u181,i219,c20,click,1511656508
u20,i77,c28,click,1511926351
u150,i283,c34,pv,1511672836
u11,i158,c9,click,1511581032
u92,i108,c9,cart,1512238530
u27,i182,c33,cart,1511965317
u159,i80,c31,fav,1511787437
u42,i91,c42,fav,1511565190
u46,i171,c22,cart,1511970912
u172,i128,c29,pv,1512274543
u28,i196,c47,fav,1512032754
u57,i103,c4,fav,1512021862
u90,i157,c8,fav,1511777851
u58,i13,c14,cart,1511957021
u85,i143,c44,fav,1511831883
u90,i261,c12,click,1512101462
u85,i15,c16,pv,1511813103
u46,i298,c49,buy,1511817561
u10,i56,c7,click,1511901679
u187,i161,c12,click,1512075465
u30,i198,c49,fav,1511738512
u66,i23,c24,cart,1511540973
u134,i276,c27,cart,1512312040
u172,i101,c2,click,1511612572
u171,i170,c21,click,1512234812
